Grade,Subject,Topic,SubTopic,link,tag
2,Mathematics,Addition,Addition of 2 digit numbers,https://www.youtube.com/watch?v=i8TekSf9Yk0,Video
2,Mathematics,Addition,Addition of 2 digit numbers,https://www.youtube.com/watch?v=OOcclZ8ucrU,Video
2,Mathematics,Addition,Addition of 2 digit numbers,https://www.youtube.com/watch?v=prdsWo7Za5M,Video
2,Mathematics,Addition,Addition of 2 digit numbers,https://www.youtube.com/watch?v=EMlvVOFXfaE,Video
2,Mathematics,Addition,Addition of 2 digit numbers,https://www.youtube.com/watch?v=E4Nn0W3fgJY,Video
2,Mathematics,Addition,Addition of 2 digit numbers,https://www.youtube.com/watch?v=rT55rmXXLrg,Video
2,Mathematics,Addition,Addition of 3 digit numbers,https://www.youtube.com/watch?v=VzdEhL44MRQ,Video
2,Mathematics,Addition,Addition of 3 digit numbers,https://www.youtube.com/watch?v=x0DE_VDEEAw,Video
2,Mathematics,Addition,Addition of one digit numbers,https://www.youtube.com/watch?v=WdgetoIrMJg,Video
2,Mathematics,Addition,Word Problems,https://www.youtube.com/watch?v=DJrHRdZ9WgU,Video
2,Mathematics,Addition,Word Problems,https://www.youtube.com/watch?v=t8ON6hmOghk,Video
2,Mathematics,Addition,Word Problems,https://www.youtube.com/watch?v=sSDAYKAc1WM,Video
2,Mathematics,Addition,Word Problems,https://www.youtube.com/watch?v=ZV4aRt-5p8M,Video
2,Mathematics,Addition,Word Problems,https://www.youtube.com/watch?v=zwRlaYs1ktQ,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,https://www.youtube.com/watch?v=zTK6XUF0HAs,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,https://www.youtube.com/watch?v=ciQCZto9vWo,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,https://www.youtube.com/watch?v=Mvm0y1Qr_JQ,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,https://www.youtube.com/watch?v=zbZVV9l4jw0,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Subtraction Sentence,https://www.youtube.com/watch?v=zTK6XUF0HAs,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Subtraction Sentence,https://www.youtube.com/watch?v=uKxj91sg_3o,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Subtraction Sentence,https://www.youtube.com/watch?v=gkxEcL5-6B0,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Subtraction Sentence,https://www.youtube.com/watch?v=ciQCZto9vWo,Video
2,Mathematics,Addition and Subtraction Strategies,Missing Whole in Subtraction Sentence,https://www.youtube.com/watch?v=uKxj91sg_3o,Video
2,Mathematics,Capacity,Addition of capacity,https://www.youtube.com/watch?v=TA7q7cEdyZE,Video
2,Mathematics,Capacity,Addition of capacity,https://www.youtube.com/watch?v=EEjyQ50Q6pc,Video
2,Mathematics,Capacity,Addition of capacity,https://www.youtube.com/watch?v=tcg0pmZVDmU,Video
2,Mathematics,Capacity,Introduction to capacity,https://www.youtube.com/watch?v=TPFQd7ZjErU,Video
2,Mathematics,Capacity,Subtraction of capacity,https://www.youtube.com/watch?v=3_CPDqhFOXk,Video
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=qP7qubT1O-w,Video
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=HJ-QUDERA84,Video
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=xhC1hBBkWWk,Video
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=xhC1hBBkWWk,Video
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=qP7qubT1O-w,Video
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=HJ-QUDERA84,Video
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=xhC1hBBkWWk,Video
2,Mathematics,Data Handling,Bar Graph,https://www.youtube.com/watch?v=UsCy9qWyRjo,Video
2,Mathematics,Data Handling,Introduction to Data Handling,https://www.youtube.com/watch?v=-RD6m4t64EA,Video
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=R2E2LXr377w,Video
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=s3kGhW19kEA,Video
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=O7VZaoJeY6U&t=188s,Video
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=GWoya4T37PU,Video
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=1xlAj_QkViw,Video
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=3r9ttm9FER8,Video
2,Mathematics,Division,Introduction to division,https://www.youtube.com/watch?v=VarfKp_rXBg,Video
2,Mathematics,Division,Introduction to division,https://www.youtube.com/watch?v=xQsmaSoi-Nk,Video
2,Mathematics,Division,Introduction to division,https://www.youtube.com/watch?v=wBSVDxqCTWw,Video
2,Mathematics,Division,Introduction to division,https://www.youtube.com/watch?v=dSUQ9pN8TPI,Video
2,Mathematics,Division,Long Division Method,https://www.youtube.com/watch?v=R1GWGJhkTpE,Video
2,Mathematics,Division,Short Division Method,https://www.youtube.com/watch?v=StULpu2cmsA,Video
2,Mathematics,Division,Word problems,https://www.youtube.com/watch?v=igpVebLCD8k,Video
2,Mathematics,Length,Addition of length,https://www.youtube.com/watch?v=_IN1C_KkZtA,Video
2,Mathematics,Length,Introduction to length,https://www.youtube.com/watch?v=ety1QoxF1eY,Video
2,Mathematics,Length,Introduction to length,https://www.youtube.com/watch?v=ftB5VU64yGA,Video
2,Mathematics,Length,Introduction to length,https://www.youtube.com/watch?v=Sz1lRAq_AJo,Video
2,Mathematics,Length,Subtraction of length,https://www.youtube.com/watch?v=44_Y0SNYwN8,Video
2,Mathematics,Money,Addition of money,https://www.youtube.com/watch?v=HPvDorbEEP8,Video
2,Mathematics,Money,Comparing Money,https://www.youtube.com/watch?v=BfRM1XUPWnI,Video
2,Mathematics,Money,Indian Rupees and Paisa,https://www.youtube.com/watch?v=DNuxarHCnB8&t=354s,Video
2,Mathematics,Money,Indian Rupees and Paisa,https://www.youtube.com/watch?v=fdKHMf_HNxA,Video
2,Mathematics,Money,Indian Rupees and Paisa,https://www.youtube.com/watch?v=KNsLqy7cXJM,Video
2,Mathematics,Money,Indian Rupees and Paisa,https://www.youtube.com/watch?v=DNuxarHCnB8,Video
2,Mathematics,Money,Multiplication and Division of Money,https://www.youtube.com/watch?v=HGr-4rwjx8s,Video
2,Mathematics,Money,Subtraction of Money,https://www.youtube.com/watch?v=mKYtj33qyP8,Video
2,Mathematics,Money,Subtraction of Money,https://www.youtube.com/watch?v=1_wYeaY8gBo,Video
2,Mathematics,Money,Subtraction of Money,https://www.youtube.com/watch?v=A_WsRzvd_78,Video
2,Mathematics,Money,Subtraction of Money,https://www.youtube.com/watch?v=_ACXqF8wUec,Video
2,Mathematics,Multiplication,Adding equal groups,https://www.youtube.com/watch?v=Q4H7dQsPOFE,Video
2,Mathematics,Multiplication,Adding equal groups,https://www.youtube.com/watch?v=QWnLKJ37lPg,Video
2,Mathematics,Multiplication,Adding equal groups,https://www.youtube.com/watch?v=0bjnRdYeHr8,Video
2,Mathematics,Multiplication,Multiplication of 2 digit numbers,https://www.youtube.com/watch?v=vak31YAMkHI,Video
2,Mathematics,Multiplication,Multiplication of 2 digit numbers,https://www.youtube.com/watch?v=v-yj9kGhVys,Video
2,Mathematics,Multiplication,Multiplication of 2 digit numbers,https://www.youtube.com/watch?v=p6uZ32ydTsw,Video
2,Mathematics,Multiplication,Multiplication of 3 digit numbers,https://www.youtube.com/watch?v=qdSxtf6Aass,Video
2,Mathematics,Multiplication,Multiplication of 3 digit numbers,https://www.youtube.com/watch?v=VzdEhL44MRQ,Video
2,Mathematics,Multiplication,Multiplication table of 10,https://www.youtube.com/watch?v=1Z52r4N95bk,Video
2,Mathematics,Multiplication,Multiplication table of 2,https://www.youtube.com/watch?v=VKJ9cCQgPdc,Video
2,Mathematics,Multiplication,Multiplication table of 3,https://www.youtube.com/watch?v=u5H__MdvAAE,Video
2,Mathematics,Multiplication,Multiplication table of 3,https://www.youtube.com/watch?v=4mjhCjowX4E,Video
2,Mathematics,Multiplication,Multiplication table of 4,https://www.youtube.com/watch?v=U4R08GZlICg,Video
2,Mathematics,Multiplication,Multiplication table of 4,https://www.youtube.com/watch?v=MZizfabCeao,Video
2,Mathematics,Multiplication,Multiplication table of 4,https://www.youtube.com/watch?v=u5H__MdvAAE,Video
2,Mathematics,Multiplication,Multiplication table of 5,https://www.youtube.com/watch?v=1Z52r4N95bk,Video
2,Mathematics,Multiplication,Multiplication tables,https://www.youtube.com/watch?v=_dnhIiO-eYM,Video
2,Mathematics,Multiplication,Word problems,https://www.youtube.com/watch?v=px3AIfQ1yQ4,Video
2,Mathematics,Number System,Cardinal and Ordinal Numbers,https://www.youtube.com/watch?v=u9MqDV3C8Ok,Video
2,Mathematics,Number System,Cardinal and Ordinal Numbers,https://www.youtube.com/watch?v=dQ5MGdHhJdQ,Video
2,Mathematics,Number System,Cardinal and Ordinal Numbers,https://www.youtube.com/watch?v=Z0PEwHQjEvU,Video
2,Mathematics,Number System,Comparing and Ordering Numbers,https://www.youtube.com/watch?v=1zQ48irEcEg,Video
2,Mathematics,Number System,Comparing and Ordering Numbers,https://www.youtube.com/watch?v=XYtLS_LPoP8,Video
2,Mathematics,Number System,Comparing and Ordering Numbers,https://www.youtube.com/watch?v=rLZbniMGAVA,Video
2,Mathematics,Number System,Hundreds Tens and Ones,https://www.youtube.com/watch?v=qRA3L2glUxk,Video
2,Mathematics,Number System,Hundreds Tens and Ones,https://www.youtube.com/watch?v=3YrXAA0BKbI,Video
2,Mathematics,Number System,Place Value of Numbers,https://www.youtube.com/watch?v=4Z44Ktxg6T4,Video
2,Mathematics,Number System,Standard and Expanded Forms,https://www.youtube.com/watch?v=4AF7xj7pmWc,Video
2,Mathematics,Patterns,Sequential Patterns with Figures,https://www.youtube.com/watch?v=yshzhYcD3EQ,Video
2,Mathematics,Patterns,Sequential Patterns with Figures,https://www.youtube.com/watch?v=FrJ1R23aj4U,Video
2,Mathematics,Patterns,Sequential Patterns with Figures,https://www.youtube.com/watch?v=8Mbd75FiW7E,Video
2,Mathematics,Points and Lines,"Rays, Lines and Line Segments",https://www.youtube.com/watch?v=1VSun4wX7UQ,Video
2,Mathematics,Points and Lines,"Rays, Lines and Line Segments",https://www.youtube.com/watch?v=9dsmVP82tig,Video
2,Mathematics,Points and Lines,"Rays, Lines and Line Segments",https://www.youtube.com/watch?v=ZrylHuaw_a4,Video
2,Mathematics,Shapes,Introduction to basic 2D shapes,https://www.youtube.com/watch?v=61lZpLRnXUM,Video
2,Mathematics,Shapes,Introduction to basic 2D shapes,https://www.youtube.com/watch?v=beTDz9HSNOM,Video
2,Mathematics,Shapes,Introduction to basic 2D shapes,https://www.youtube.com/watch?v=VAWaV1upv6E,Video
2,Mathematics,Shapes,Introduction to basic 3D shapes,https://www.youtube.com/watch?v=61lZpLRnXUM,Video
2,Mathematics,Shapes,Introduction to basic 3D shapes,https://www.youtube.com/watch?v=3-QwWFkz5hw,Video
