Grade,Subject,Topic,SubTopic,link
2,Mathematics,Addition,Word Problems,https://www.youtube.com/watch?v=DJrHRdZ9WgU
2,Mathematics,Addition,Word Problems,https://www.youtube.com/watch?v=t8ON6hmOghk&t=12s
2,Mathematics,Addition,Word Problems,https://www.youtube.com/watch?v=9Uq6vpEQ8aQ
2,Mathematics,Capacity,Subtraction of capacity,https://www.youtube.com/watch?v=3_CPDqhFOXk
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=qP7qubT1O-w
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=HJ-QUDERA84
2,Mathematics,Capacity,Units of capacity,https://www.youtube.com/watch?v=xhC1hBBkWWk
2,Mathematics,Data Handling,Introduction to Data Handling,https://www.youtube.com/watch?v=hKHgqqk4NbE
2,Mathematics,Data Handling,Introduction to Data Handling,https://www.youtube.com/watch?v=-RD6m4t64EA
2,Mathematics,Data Handling,Introduction to Data Handling,https://www.youtube.com/watch?v=DWutzoPf9V8
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=O7VZaoJeY6U&t=188s
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=GWoya4T37PU
2,Mathematics,Data Handling,Pictograph,https://www.youtube.com/watch?v=1xlAj_QkViw
2,Mathematics,Division,Short Division Method,https://www.youtube.com/watch?v=SLze82Zcc4Y
2,Mathematics,Division,Short Division Method,https://www.youtube.com/watch?v=FApcjdAhnrY
2,Mathematics,Division,Word problems,https://www.youtube.com/watch?v=cT-dxQ2clz8
2,Mathematics,Division,Word problems,https://www.youtube.com/watch?v=t5H9Sq4p0AM
2,Mathematics,Division,Word problems,https://www.youtube.com/watch?v=hKsr8lH5YNc
2,Mathematics,Length,Addition of length,https://www.youtube.com/watch?v=_IN1C_KkZtA
2,Mathematics,Length,Addition of length,https://www.youtube.com/watch?v=3svjqHurujY
2,Mathematics,Length,Addition of length,https://www.youtube.com/watch?v=EM9zux9EKME
2,Mathematics,Length,Introduction to length,https://www.youtube.com/watch?v=ukzMc1Lr-8s
2,Mathematics,Length,Introduction to length,https://www.youtube.com/watch?v=ftB5VU64yGA
2,Mathematics,Length,Introduction to length,https://www.youtube.com/watch?v=me--8hwA7bA
2,Mathematics,Money,Addition of money,https://www.youtube.com/watch?v=pG4nLjAXqAQ
2,Mathematics,Money,Addition of money,https://www.youtube.com/watch?v=VHZClyKhkt8
2,Mathematics,Money,Addition of money,https://www.youtube.com/watch?v=Q_vtetAE1F4
2,Mathematics,Money,Comparing Money,
2,Mathematics,Money,Comparing Money,
2,Mathematics,Money,Comparing Money,
2,Mathematics,Money,Indian Rupees and Paisa,https://www.youtube.com/watch?v=DNuxarHCnB8&t=354s
2,Mathematics,Money,Indian Rupees and Paisa,https://www.youtube.com/watch?v=fdKHMf_HNxA
2,Mathematics,Money,Indian Rupees and Paisa,https://www.youtube.com/watch?v=KNsLqy7cXJM
2,Mathematics,Multiplication,Multiplication table of 2,https://www.youtube.com/watch?v=VKJ9cCQgPdc
2,Mathematics,Multiplication,Multiplication table of 2,https://www.youtube.com/watch?v=do0Cy9vX95w
2,Mathematics,Multiplication,Multiplication table of 3,https://www.youtube.com/watch?v=CgkbDcSaHl0
2,Mathematics,Multiplication,Multiplication table of 3,https://www.youtube.com/watch?v=_C8l8nDhdyY
2,Mathematics,Multiplication,Multiplication table of 3,https://www.youtube.com/watch?v=C6WmxYdSzg4
2,Mathematics,Multiplication,Multiplication tables,https://www.youtube.com/watch?v=CgkbDcSaHl0&t=1s
2,Mathematics,Multiplication,Multiplication tables,https://www.youtube.com/watch?v=M5Iu7AZ2Njg
2,Mathematics,Multiplication,Multiplication tables,https://www.youtube.com/watch?v=_C8l8nDhdyY&t=150s
