Grade,Subject,Topic,SubTopic,title,description,link,index
2,Mathematics,Addition,Addition of 2 digit numbers,Mathematics: Addition of 2 digits,Find 1500+ education videos available at http://www.youtube.com/IkenEdu Addition is the very first and the most basic thing of ...,https://www.youtube.com/watch?v=i8TekSf9Yk0,0
2,Mathematics,Addition,Addition of 2 digit numbers,Addition of Three Digit Numbers | Addition | Maths For Class 2 | Maths Basics For CBSE Children,"Pebbles present, Learn Maths For Kids. Live Teacher explanation, Classroom Teaching Lessons to Learn Maths Basics For Class ...",https://www.youtube.com/watch?v=VzdEhL44MRQ,0
2,Mathematics,Addition,Addition of 2 digit numbers,Mathematics For Class 2 | Learn Maths For Kids | Maths Made Easy | Math's For Class 2,"Please watch: ""Sundarban Bedtime Stories || 3 NON STOP Animal Stories for Kids || Episode 7, 8, 9 || Hindi 4K Video"" ...",https://www.youtube.com/watch?v=1ZB5g9FMMdk,0
2,Mathematics,Addition,Addition of 2 digit numbers,Maths -  Adding two digit numbers - English,"Hello, BodhaGuru Learning proudly presents an animated Maths video in English, which teaches how to do addition. It teaches ...",https://www.youtube.com/watch?v=OOcclZ8ucrU,0
2,Mathematics,Addition,Addition of 2 digit numbers,Addition of Numbers with Carrying | Maths For Class 2 | Maths Basics For CBSE Children,"Pebbles present, Learn Maths For Kids. Live Teacher explanation, Classroom Teaching Lessons to Learn Maths Basics For Class ...",https://www.youtube.com/watch?v=prdsWo7Za5M,0
2,Mathematics,Addition,Addition of 2 digit numbers,Adding two digit numbers | Addition 2 | Adding with Carry over | Kindergarten video playlist,"Adding numbers for children | Addition - Part 2 | Add numbers to 10 | Kindergarten maths video playlist This is a video to help kids, ...",https://www.youtube.com/watch?v=EMlvVOFXfaE,0
2,Mathematics,Addition,Addition of 2 digit numbers,Maths - Subtracting two digit numbers with borrowing - English,"Hello, BodhaGuru Learning proudly presents an animated Maths video in English, which teaches how to do subtraction. It ...",https://www.youtube.com/watch?v=oAOpN9_0Nfo,0
2,Mathematics,Addition,Addition of 2 digit numbers,Addition of 2 digit numbers without carry,Create your personal learning account. Register for FREE at http://www.deltastep.com DeltaStep is a social initiative by graduates ...,https://www.youtube.com/watch?v=E4Nn0W3fgJY,0
2,Mathematics,Addition,Addition of 2 digit numbers,2 Digit Addition with Regrouping - Carrying and Place Value for Kids - FreeSchool,"2-Digit Addition doesn't have to be difficult. You just need to learn how to regroup! Also known as carrying, regrouping is what we ...",https://www.youtube.com/watch?v=rT55rmXXLrg,0
2,Mathematics,Addition,Addition of 2 digit numbers,"Grade 2 Math  5.8, Adding two-digit numbers",How to add two-digit numbers with or without regrouping without using models. Page 147 in the Silver Burdett Grade 2 textbook.,https://www.youtube.com/watch?v=NOs0w0EOUgc,0
2,Mathematics,Addition,Addition of 3 digit numbers,Addition of Three Digit Numbers | Addition | Maths For Class 2 | Maths Basics For CBSE Children,"Pebbles present, Learn Maths For Kids. Live Teacher explanation, Classroom Teaching Lessons to Learn Maths Basics For Class ...",https://www.youtube.com/watch?v=VzdEhL44MRQ,1
2,Mathematics,Addition,Addition of 3 digit numbers,Learn Math - Addition of 3 Digit Numbers,Find 1500+ education videos available at https://www.youtube.com/user/IkenEdu You have already learned adding 2 digit number ...,https://www.youtube.com/watch?v=x0DE_VDEEAw,1
2,Mathematics,Addition,Addition of 3 digit numbers,Addition | How Fast Can We Add | Addition of 3 Numbers | Maths For Class 2 | Maths Basics For CBSE,"Pebbles present, Learn Maths For Kids. Live Teacher explanation, Classroom Teaching Lessons to Learn Maths Basics For Class ...",https://www.youtube.com/watch?v=VTlE2E5fHDk,1
2,Mathematics,Addition,Addition of 3 digit numbers,Addition on Abacus (With Carry Over) | Addition of 3-Digits Numbers | CBSE Class 2 Maths,After completing this video learner will understand the concept of Addition on Abacus (With Carry Over). Access all educational ...,https://www.youtube.com/watch?v=OVkG6RKwPXU,1
2,Mathematics,Addition,Addition of one digit numbers,Addition of Numbers with Carrying | Maths For Class 2 | Maths Basics For CBSE Children,"Pebbles present, Learn Maths For Kids. Live Teacher explanation, Classroom Teaching Lessons to Learn Maths Basics For Class ...",https://www.youtube.com/watch?v=prdsWo7Za5M,2
2,Mathematics,Addition,Addition of one digit numbers,Addition of Three Digit Numbers | Addition | Maths For Class 2 | Maths Basics For CBSE Children,"Pebbles present, Learn Maths For Kids. Live Teacher explanation, Classroom Teaching Lessons to Learn Maths Basics For Class ...",https://www.youtube.com/watch?v=VzdEhL44MRQ,2
2,Mathematics,Addition,Addition of one digit numbers,Maths - Adding Single Digit Numbers - English,"Hello, BodhaGuru Learning proudly presents an animated Maths video in English, which teaches how to do addition. It teaches ...",https://www.youtube.com/watch?v=WdgetoIrMJg,2
2,Mathematics,Addition,Addition of one digit numbers,Mathematics For Class 2 | Learn Maths For Kids | Maths Made Easy | Math's For Class 2,"Please watch: ""Sundarban Bedtime Stories || 3 NON STOP Animal Stories for Kids || Episode 7, 8, 9 || Hindi 4K Video"" ...",https://www.youtube.com/watch?v=1ZB5g9FMMdk,2
2,Mathematics,Addition,Word Problems,Addition Word Problems | Word Problems on Addition | Maths For Class 2 | Maths Basics CBSE Children,"Pebbles present, Learn Maths For Kids. Live Teacher explanation, Classroom Teaching Lessons to Learn Maths Basics For Class ...",https://www.youtube.com/watch?v=DJrHRdZ9WgU,3
2,Mathematics,Addition,Word Problems,"Grade 2 Math  1.8, Problem solving, Addition Word Problems",Six word problem examples and how to solve them by using clue words and writing a number sentence (addition sentence).,https://www.youtube.com/watch?v=t8ON6hmOghk,3
2,Mathematics,Addition,Word Problems,Word Problems on Addition of Money | Maths For Class 2 | Maths Basics For CBSE Children,"Pebbles present, Learn Maths For Kids. Live Teacher explanation, Classroom Teaching Lessons to Learn Maths Basics For Class ...",https://www.youtube.com/watch?v=sSDAYKAc1WM,3
2,Mathematics,Addition,Word Problems,"Grade 2 Math  6.13, Word problem solving, choose the operation",Several examples of clue words that will help us decide if we need to add or subtract to solve a word problem. Over a dozen ...,https://www.youtube.com/watch?v=Yjr-OX2o2Xs,3
2,Mathematics,Addition,Word Problems,Maths - Addition Word Problems -- Part 1 - English,The video explains how to solve addition word problems step by step (e.g. In a village there are 9647 male voters and 9367 ...,https://www.youtube.com/watch?v=ZV4aRt-5p8M,3
2,Mathematics,Addition,Word Problems,Addition Story Problems | Maths Word Problems For Kids | Periwinkle,Addition Story Problems | Maths For Kids | Periwinkle Watch our other videos: English Stories for Kids: ...,https://www.youtube.com/watch?v=PBi7tLhl7qk,3
2,Mathematics,Addition,Word Problems,2nd Grade: Addition Word Problem Using Strategies,,https://www.youtube.com/watch?v=513zlcPJ_-0,3
2,Mathematics,Addition,Word Problems,"Grade 2 Math  2.13 Word Problem solving, choose + or -","How to choose which operation, addition or subtraction, to solve a word problem by using the clue words given in the words.",https://www.youtube.com/watch?v=zwRlaYs1ktQ,3
2,Mathematics,Addition,Word Problems,Maths - Addition Word Problems -- Part 2 - English,"The video explains how to solve addition word problems which includes large numbers step by step (e.g. a person earns 1000, ...",https://www.youtube.com/watch?v=xvRh3fAgtBs,3
2,Mathematics,Addition,Word Problems,Addition Subtraction Word Problems - Class 2 / Grade 2 - Kids-Teaching-Kids,Master Riddhiman explains the simple addition and subtraction word problems in this video in a simple and fun way. Problems ...,https://www.youtube.com/watch?v=qaObriNVh0o,3
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,Missing numbers in addition and subtraction | 2nd grade | Khan Academy,Sal solves missing number in problems like 73 = ___ + 57. Watch the next lesson: ...,https://www.youtube.com/watch?v=zTK6XUF0HAs,4
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,Inverse Operations | Addition And Subtraction | Learn Basic Maths | Hungama Kids,"Hello Kids, Let's begin the fun of Mathematics once again & learn about a very interesting concept, which we often apply, in our ...",https://www.youtube.com/watch?v=iDrAIFtcpDA,4
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,Learn Addition Using Number Line | Elementary Maths Concept for Kids | Addition | Part 4,Learn Addition Using The Number Line! In the last video we have learnt what happens when we add zero to a number. Now in ...,https://www.youtube.com/watch?v=tp9n4kMTuQo,4
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,2nd Grade: Equal Number Sentences,CTC Math http://ctcmath.com/ Join with more than 217000 students now confident in math because finally they can do it! Learn at ...,https://www.youtube.com/watch?v=Mmdoq_tsagY,4
2,Mathematics,Addition and Subtraction Strategies,Missing Part in Addition Sentence,"Grade 1 Math 5.5, Unknown (missing) numbers, related facts","How we can use related facts (fact families) to find an unknown number. Finding an unknown addend, sum, minuend, subtrahend, ...",https://www.youtube.com/watch?v=ciQCZto9vWo,4
